year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,fips,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app,fips,not_applicable_loan_average_app,not_applicable_income_average_app,not_applicable_count_app,not_applicable_value_app,fips,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,fips,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,fips,not_provided_loan_average_app,not_provided_income_average_app,not_provided_count_app,not_provided_value_app,fips,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,fips,no_co_app_loan_average_app,no_co_app_income_average_app,no_co_app_count_app,no_co_app_value_app,fips,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app
2011,21,143,142.25,108.94,231,32859,21143,39073,100.0,43.0,1.0,100.0,01015,167.43,129.04,28.0,4688.0,01005,113.0,70.75,4.0,452.0,51109,211.26,120.45,1019.0,215273.0,38041,125.5,167.5,2.0,251.0,29143,59.43,61.14,7.0,416.0,,,,,,47103,142.0,71.0,1.0,142.0
2011,72,071,128.81,72.85,370,47658,72071,21209,198.5,122.5,2.0,397.0,13253,170.8,67.8,5.0,854.0,42125,93.08,71.77,13.0,1210.0,51820,131.56,71.39,436.0,57360.0,28003,104.31,74.59,29.0,3025.0,51135,120.9,73.73,30.0,3627.0,,,,,,54053,247.0,258.0,1.0,247.0
2011,27,119,116.38,84.72,721,83913,27119,48467,75.0,147.0,1.0,75.0,72017,67.0,30.0,1.0,67.0,51035,320.0,44.0,1.0,320.0,28049,165.65,136.34,2086.0,345543.0,01015,122.51,70.09,183.0,22419.0,48275,15.0,16.0,1.0,15.0,,,,,,06069,265.35,125.73,49.0,13002.0
2011,51,830,225.53,129.65,298,67209,51830,13237,243.0,135.0,2.0,486.0,72143,194.2,77.2,5.0,971.0,47033,51.0,110.0,2.0,102.0,44003,183.38,102.59,4562.0,836571.0,50009,159.71,77.43,14.0,2236.0,51073,137.93,86.56,43.0,5931.0,,,,,,41051,198.71,99.08,1961.0,389666.0
2011,13,047,128.04,77.84,1475,188863,13047,31177,159.0,5.0,1.0,159.0,50009,155.0,81.0,1.0,155.0,39021,136.33,187.33,3.0,409.0,21229,108.83,68.71,200.0,21765.0,72143,32.0,12.0,1.0,32.0,35051,30.0,69.0,1.0,30.0,,,,,,51610,390.54,151.05,61.0,23823.0
2011,08,031,245.38,128.15,28386,6965498,08031,13135,143.36,71.53,90.0,12902.0,06105,190.23,142.15,13.0,2473.0,36049,103.0,76.0,1.0,103.0,27029,109.21,71.26,163.0,17801.0,13253,162.67,128.0,9.0,1464.0,06069,278.2,131.8,10.0,2782.0,,,,,,36061,558.4,291.53,3060.0,1708715.0
2011,04,007,160.4,114.65,1404,225196,04007,55111,81.0,69.0,2.0,162.0,17181,167.5,97.0,2.0,335.0,51135,146.0,74.0,1.0,146.0,17061,76.35,66.37,269.0,20538.0,19143,94.67,156.33,3.0,284.0,41051,191.18,86.37,449.0,85840.0,,,,,,27079,148.4,50.8,5.0,742.0
2011,39,107,122.97,89.3,562,69108,39107,45007,126.83,99.33,6.0,761.0,31055,162.97,113.26,459.0,74804.0,26089,111.4,70.2,5.0,557.0,51071,110.18,66.97,368.0,40545.0,72017,156.5,64.5,2.0,313.0,13025,131.83,62.0,6.0,791.0,,,,,,42NA ,199.4,119.52,25.0,4985.0
2011,29,131,136.32,99.55,588,80158,29131,40091,59.0,45.0,1.0,59.0,51670,56.0,94.0,1.0,56.0,51073,267.4,141.4,5.0,1337.0,72151,81.87,46.44,77.0,6304.0,17181,120.38,121.13,24.0,2889.0,51610,392.86,181.0,7.0,2750.0,,,,,,36105,153.75,152.58,12.0,1845.0
2011,04,017,156.28,119.4,2255,352404,04017,53021,79.0,72.0,1.0,79.0,20095,115.0,51.0,1.0,115.0,35051,81.75,63.75,4.0,327.0,20083,92.92,72.17,12.0,1115.0,06105,157.27,106.37,30.0,4718.0,36061,424.91,225.41,601.0,255373.0,,,,,,45003,179.3,100.4,43.0,7710.0
2011,26,151,112.11,91.63,705,79038,26151,37193,53.0,48.75,4.0,212.0,21209,176.11,87.07,75.0,13208.0,06069,266.17,98.67,6.0,1597.0,20045,161.74,103.11,2942.0,475844.0,31055,153.05,112.86,1755.0,268610.0,27079,200.0,87.0,1.0,200.0,,,,,,18073,165.5,221.0,2.0,331.0
2011,08,109,157.14,99.19,63,9900,08109,01005,133.0,322.0,2.0,266.0,48467,164.0,124.88,16.0,2624.0,41051,174.87,78.61,127.0,22209.0,72145,82.06,55.49,391.0,32084.0,51670,98.91,66.7,46.0,4550.0,21183,145.0,19.0,1.0,145.0,,,,,,46013,266.0,300.0,1.0,266.0
