year,state,county,fips,loan_average_orig,income_average_orig,count_orig,value_orig,fips,native_loan_average_orig,native_income_average_orig,native_count_orig,native_value_orig,fips,black_loan_average_orig,black_income_average_orig,black_count_orig,black_value_orig,fips,asian_loan_average_orig,asian_income_average_orig,asian_count_orig,asian_value_orig,fips,white_loan_average_orig,white_income_average_orig,white_count_orig,white_value_orig,fips,hawaiian_loan_average_orig,hawaiian_income_average_orig,hawaiian_count_orig,hawaiian_value_orig,fips,not_applicable_loan_average_orig,not_applicable_income_average_orig,not_applicable_count_orig,not_applicable_value_orig,fips,not_provided_loan_average_orig,not_provided_income_average_orig,not_provided_count_orig,not_provided_value_orig,fips,no_co_app_loan_average_orig,no_co_app_income_average_orig,no_co_app_count_orig,no_co_app_value_orig
2000,38,043,38043,45.75,54.58,12,549,32031,102.85,59.37,59.0,6068.0,32031,103.39,66.13,62.0,6410.0,04013,135.79,84.45,1686.0,228944.0,48279,50.79,53.09,43.0,2184.0,08NA ,122.25,58.7,20.0,2445.0,39115,53.48,37.4,48.0,2567.0,26053,35.5,39.0,2.0,71.0,54065,23.0,40.0,1.0,23.0
2000,21,089,21089,60.22,50.88,804,48413,54049,43.25,24.25,4.0,173.0,54049,54.6,48.8,10.0,546.0,37003,70.25,33.25,8.0,562.0,20NA ,55.75,52.49,194.0,10816.0,19105,69.0,21.0,3.0,207.0,22017,61.14,53.7,766.0,46833.0,24039,111.0,69.0,1.0,111.0,17061,36.0,78.0,1.0,36.0
2000,28,067,28067,51.9,51.54,1058,54910,34023,117.27,77.66,74.0,8678.0,34023,133.92,80.29,615.0,82358.0,06083,209.01,103.59,237.0,49536.0,38085,54.0,62.67,3.0,162.0,22095,73.38,49.63,16.0,1174.0,01057,54.62,35.52,21.0,1147.0,28049,90.8,45.4,15.0,1362.0,53073,139.06,161.12,17.0,2364.0
2000,28,121,28121,87.04,64.79,2403,209153,25025,152.97,72.77,35.0,5354.0,18139,37.67,36.33,3.0,113.0,55113,97.5,113.5,2.0,195.0,39115,53.44,42.95,187.0,9994.0,32031,108.07,57.01,537.0,58032.0,13191,85.97,45.17,29.0,2493.0,12109,123.39,78.94,33.0,4072.0,21029,69.25,90.75,4.0,277.0
2000,01,025,01025,43.93,44.75,643,28247,72097,53.0,168.0,1.0,53.0,25025,146.19,64.36,1405.0,205396.0,51820,100.0,84.0,1.0,100.0,22017,83.44,65.57,2248.0,187579.0,72097,78.68,60.55,676.0,53191.0,51109,81.1,61.18,137.0,11111.0,13071,43.33,41.67,3.0,130.0,55133,51.0,63.5,6.0,306.0
2000,51,181,51181,126.37,63.92,63,7961,29037,115.57,66.29,7.0,809.0,17203,131.5,114.5,2.0,263.0,28049,110.92,66.77,13.0,1442.0,01057,54.23,40.98,160.0,8677.0,29037,96.05,55.0,19.0,1825.0,46121,49.75,29.5,4.0,199.0,12049,47.0,28.0,1.0,47.0,48167,93.2,83.0,5.0,466.0
2000,20,097,20097,44.9,45.4,10,449,38057,31.0,90.0,1.0,31.0,29037,125.91,67.42,33.0,4155.0,12109,176.33,96.7,40.0,7053.0,13191,80.6,53.86,139.0,11204.0,55035,101.92,116.69,13.0,1325.0,55113,102.2,145.53,30.0,3066.0,44003,108.16,62.2,25.0,2704.0,35017,11.0,46.0,1.0,11.0
2000,38,057,38057,52.43,52.7,40,2097,18075,36.33,28.67,3.0,109.0,55035,173.0,213.0,1.0,173.0,44003,154.91,99.69,32.0,4957.0,51109,98.88,67.33,420.0,41530.0,35029,39.72,34.36,108.0,4290.0,06083,229.72,146.63,933.0,214325.0,37065,47.82,25.91,11.0,526.0,72151,85.0,74.0,1.0,85.0
2000,27,087,27087,43.13,46.11,38,1639,39101,136.71,30.14,7.0,957.0,39101,57.61,42.68,28.0,1613.0,36053,132.75,78.75,4.0,531.0,46121,52.8,45.8,5.0,264.0,47077,42.0,47.0,5.0,210.0,51820,80.28,51.08,36.0,2890.0,36053,88.5,69.83,6.0,531.0,38035,100.0,296.0,2.0,200.0
2000,05,109,05109,51.91,50.12,68,3530,55035,86.89,52.44,9.0,782.0,47077,44.65,34.12,34.0,1518.0,06097,215.73,105.1,491.0,105921.0,31085,40.0,1920.0,1.0,40.0,48005,47.2,49.62,55.0,2596.0,72047,13.0,18.0,1.0,13.0,06097,196.45,98.78,176.0,34575.0,20045,118.04,235.07,27.0,3187.0
