year,state,county,fips,loan_average_orig,income_average_orig,count_orig,value_orig,native_loan_average_orig,native_income_average_orig,native_count_orig,native_value_orig,black_loan_average_orig,black_income_average_orig,black_count_orig,black_value_orig,asian_loan_average_orig,asian_income_average_orig,asian_count_orig,asian_value_orig,white_loan_average_orig,white_income_average_orig,white_count_orig,white_value_orig,hawaiian_loan_average_orig,hawaiian_income_average_orig,hawaiian_count_orig,hawaiian_value_orig,not_applicable_loan_average_orig,not_applicable_income_average_orig,not_applicable_count_orig,not_applicable_value_orig,not_provided_loan_average_orig,not_provided_income_average_orig,not_provided_count_orig,not_provided_value_orig,no_co_app_loan_average_orig,no_co_app_income_average_orig,no_co_app_count_orig,no_co_app_value_orig
2012,28,033,28033,144.32,101.15,3212,463571,116.0,100.86,7.0,812.0,163.09,83.25,267.0,43545.0,119.16,70.11,38.0,4528.0,141.69,102.78,2696.0,382007.0,134.0,107.43,7.0,938.0,249.0,214.0,1.0,249.0,160.67,108.38,196.0,31492.0,,,,
2012,37,NA ,37NA ,207.47,145.81,116,24067,57.0,328.0,1.0,57.0,138.33,87.0,3.0,415.0,259.67,95.08,12.0,3116.0,206.5,157.86,86.0,17759.0,175.0,134.0,1.0,175.0,,,,,195.77,113.38,13.0,2545.0,,,,
2012,12,023,12023,125.56,86.76,469,58887,281.67,148.0,3.0,845.0,120.15,73.54,13.0,1562.0,147.0,74.2,10.0,1470.0,123.65,86.8,419.0,51808.0,,,,,,,,,133.42,90.79,24.0,3202.0,,,,
2012,51,125,51125,213.58,169.22,534,114053,,,,,110.8,83.8,10.0,1108.0,247.25,119.25,4.0,989.0,211.67,167.72,474.0,100332.0,196.33,173.67,3.0,589.0,,,,,256.63,209.95,43.0,11035.0,,,,
2012,01,013,01013,102.38,81.84,180,18428,45.0,18.0,1.0,45.0,64.35,50.35,23.0,1480.0,,,,,108.03,86.68,155.0,16744.0,,,,,,,,,159.0,120.0,1.0,159.0,,,,
2012,36,093,36093,147.32,95.14,2626,386866,173.27,96.09,11.0,1906.0,134.57,82.8,35.0,4710.0,168.57,101.83,127.0,21408.0,145.99,94.22,2324.0,339281.0,130.22,85.89,9.0,1172.0,,,,,153.24,110.04,120.0,18389.0,,,,
2012,46,097,46097,105.61,77.97,31,3274,,,,,,,,,,,,,105.61,77.97,31.0,3274.0,,,,,,,,,,,,,,,,
2012,37,159,37159,135.61,82.79,2002,271482,93.0,50.33,3.0,279.0,99.77,60.79,56.0,5587.0,135.48,106.17,23.0,3116.0,136.0,82.45,1818.0,247243.0,192.0,228.0,1.0,192.0,,,,,149.16,95.25,101.0,15065.0,,,,
2012,19,077,19077,169.8,154.46,308,52298,,,,,,,,,,,,,168.74,146.43,294.0,49610.0,,,,,,,,,192.0,323.14,14.0,2688.0,,,,
2012,30,107,30107,79.0,77.29,7,553,,,,,,,,,,,,,79.0,77.29,7.0,553.0,,,,,,,,,,,,,,,,
