year,state,county,fips,loan_average_app,income_average_app,count_app,value_app,fips,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,fips,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,fips,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app,fips,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,fips,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app,fips,not_applicable_loan_average_app,not_applicable_income_average_app,not_applicable_count_app,not_applicable_value_app,fips,not_provided_loan_average_app,not_provided_income_average_app,not_provided_count_app,not_provided_value_app,fips,no_co_app_loan_average_app,no_co_app_income_average_app,no_co_app_count_app,no_co_app_value_app
2006,39,041,39041,202.59,115.23,14431,2923520,48153,48.0,76.33,3.0,144.0,28087,80.13,54.8,694.0,55613.0,47151,65.67,168.67,3.0,197.0,31177,129.99,82.44,1079,140260,49007,72.0,26.0,1.0,72.0,05141,122.48,82.55,33.0,4042.0,05141,81.35,57.08,102.0,8298.0,,,,,
2006,17,175,17175,71.09,54.78,252,17915,19097,51.0,89.83,6.0,306.0,19097,60.0,61.5,2.0,120.0,23027,115.17,57.42,12.0,1382.0,29199,84.4,82.38,48,4051,18131,81.5,39.5,2.0,163.0,48343,48.8,38.6,5.0,244.0,48343,65.04,58.21,71.0,4618.0,,,,,
2006,48,251,48251,101.65,80.91,8785,893033,28087,93.2,112.9,10.0,932.0,17155,65.0,36.33,3.0,195.0,18131,60.0,48.0,1.0,60.0,45007,116.14,76.72,8515,988925,28003,47.0,59.0,1.0,47.0,30073,84.5,76.38,16.0,1352.0,47181,80.68,48.13,82.0,6616.0,,,,,
2006,01,019,01019,110.17,71.75,1232,135732,17155,56.0,34.0,2.0,112.0,45073,98.21,60.75,214.0,21018.0,27159,117.0,22.0,1.0,117.0,48125,56.39,71.56,18,1015,01015,83.7,58.1,10.0,837.0,47181,97.33,56.67,3.0,292.0,30073,87.5,74.91,22.0,1925.0,,,,,
2006,32,NA ,32NA ,198.27,105.71,3009,596605,45073,360.79,114.14,14.0,5051.0,36101,80.3,76.56,43.0,3453.0,28003,101.33,71.5,6.0,608.0,37193,101.09,67.91,2971,300330,72143,72.5,28.5,2.0,145.0,48153,56.0,72.86,7.0,392.0,48153,60.0,50.1,20.0,1200.0,,,,,
2006,24,015,24015,187.47,90.01,10050,1884070,36101,81.29,42.43,7.0,569.0,37143,111.45,55.22,136.0,15157.0,01015,130.47,103.97,38.0,4958.0,27081,104.38,106.12,165,17223,17181,150.0,168.0,1.0,150.0,28087,108.68,65.88,117.0,12716.0,28087,96.96,73.62,291.0,28216.0,,,,,
2006,13,025,13025,66.84,52.62,486,32486,37143,118.29,69.14,7.0,828.0,28035,76.49,50.27,819.0,62644.0,19143,36.0,29.0,1.0,36.0,48369,68.87,60.09,137,9435,06105,255.0,64.0,1.0,255.0,19097,82.03,60.03,32.0,2625.0,19097,93.91,72.61,76.0,7137.0,,,,,
2006,17,099,17099,114.9,74.31,5661,650422,28035,104.14,54.71,7.0,729.0,13141,82.55,52.69,137.0,11310.0,50009,195.0,50.0,2.0,390.0,51035,95.19,57.36,1338,127363,51105,106.0,50.0,1.0,106.0,46119,118.83,80.33,6.0,713.0,46119,135.67,88.67,6.0,814.0,,,,,
2006,47,045,47045,82.17,66.68,2192,180114,13141,113.0,48.0,1.0,113.0,39091,87.37,51.21,43.0,3757.0,72017,137.0,30.33,3.0,411.0,47033,80.86,59.15,553,44718,31055,97.42,68.68,100.0,9742.0,17155,88.63,85.13,8.0,709.0,17155,122.0,90.64,36.0,4392.0,,,,,
2006,29,185,29185,77.25,51.97,397,30667,39091,133.05,79.55,20.0,2661.0,39059,65.82,43.18,17.0,1119.0,17181,122.0,65.2,5.0,610.0,29143,71.83,57.48,430,30885,51670,95.6,49.2,5.0,478.0,45073,186.11,122.49,174.0,32384.0,45073,143.59,93.36,557.0,79977.0,,,,,
