year,state,county,fips,loan_average_app,income_average_app,count_app,value_app,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app
2000,21,127,21127,42.11,35.72,623,26233,45.25,37.38,8.0,362.0,50.0,30.0,1.0,50.0,,,,,39.63,36.24,429.0,17000.0,,,,
2000,18,051,18051,57.07,44.08,1513,86344,54.0,29.0,2.0,108.0,42.65,36.52,23.0,981.0,39.0,31.0,3.0,117.0,59.13,45.15,1174.0,69423.0,29.2,41.0,5.0,146.0
2000,01,049,01049,50.36,39.58,2452,123487,25.6,34.2,5.0,128.0,33.55,25.48,29.0,973.0,35.5,25.5,2.0,71.0,51.8,40.43,1832.0,94896.0,35.6,32.65,89.0,3168.0
2000,06,075,06075,336.14,162.25,23034,7742575,264.29,137.14,98.0,25900.0,223.7,83.74,1254.0,280520.0,303.35,134.1,4950.0,1501559.0,389.93,193.08,10846.0,4229154.0,238.02,94.76,1720.0,409387.0
2000,13,293,13293,61.54,43.32,888,54650,54.0,20.0,1.0,54.0,55.89,32.7,96.0,5365.0,38.5,9.5,2.0,77.0,65.24,48.67,433.0,28247.0,55.75,34.88,8.0,446.0
2000,16,041,16041,79.42,47.28,499,39632,38.33,42.0,3.0,115.0,,,,,,,,,81.28,48.95,368.0,29912.0,71.58,33.5,12.0,859.0
2000,20,175,20175,52.64,46.51,638,33586,45.0,38.7,10.0,450.0,46.2,45.0,10.0,462.0,49.82,37.27,11.0,548.0,66.59,55.36,201.0,13385.0,42.31,38.3,165.0,6981.0
2000,28,001,28001,52.89,43.36,1046,55322,34.0,46.83,6.0,204.0,43.13,36.7,280.0,12076.0,13.5,46.5,2.0,27.0,68.79,54.03,319.0,21943.0,78.67,59.83,6.0,472.0
2000,55,079,55079,78.74,57.8,35733,2813765,62.93,55.25,170.0,10698.0,62.5,44.61,6439.0,402435.0,83.62,55.94,552.0,46160.0,94.03,66.93,17818.0,1675436.0,64.32,44.86,1741.0,111974.0
2000,51,530,51530,61.19,39.8,231,14134,16.0,13.0,1.0,16.0,,,,,,,,,59.02,38.83,130.0,7672.0,,,,
2000,72,153,72153,68.28,44.84,310,21168,,,,,,,,,,,,,128.0,33.0,1.0,128.0,66.57,42.27,305.0,20304.0
2000,12,017,12017,65.29,52.3,6732,439507,66.57,40.57,23.0,1531.0,73.56,48.76,99.0,7282.0,136.69,86.64,42.0,5741.0,65.27,53.03,4366.0,284967.0,63.57,50.6,91.0,5785.0
2000,53,NA ,53NA ,79.75,50.3,1865,148728,79.46,54.58,24.0,1907.0,95.32,48.29,38.0,3622.0,108.3,62.02,47.0,5090.0,81.47,51.7,1214.0,98903.0,69.86,41.65,127.0,8872.0
2000,06,057,06057,162.61,104.11,7080,1151254,134.37,68.63,27.0,3628.0,168.37,126.89,19.0,3199.0,182.4,174.38,77.0,14045.0,166.98,106.02,5630.0,940122.0,142.82,87.36,129.0,18424.0
2000,06,043,06043,102.47,68.96,731,74903,69.0,45.33,3.0,207.0,171.5,30.5,2.0,343.0,104.4,77.4,5.0,522.0,105.89,71.54,470.0,49766.0,123.69,54.6,35.0,4329.0
2000,17,189,17189,61.68,48.81,354,21835,11.0,9.0,1.0,11.0,10.0,45.0,1.0,10.0,,,,,65.22,52.61,231.0,15065.0,,,,
